number,1,2,3,4,5,6,7,8,9,10
690,3899,4218,5080,5486,9132,9863,13204,14261,17247,18626
690,3657,3957,4739,5120,8491,9170,12283,13266,16065,17350
700,3936,4258,5080,5486,9132,9863,13204,14261,17247,18626
700,3691,3994,4739,5120,8491,9170,12283,13266,16065,17350
710,3974,4299,5080,5486,9132,9863,13204,14261,17247,18626
710,3725,4031,4739,5120,8491,9170,12283,13266,16065,17350
720,4012,4340,5080,5486,9132,9863,13204,14261,17247,18626
720,3760,4069,4739,5120,8491,9170,12283,13266,16065,17350
730,4050,4380,5080,5486,9132,9863,13204,14261,17247,18626
730,3795,4106,4739,5120,8491,9170,12283,13266,16065,17350
740,4087,4420,5080,5486,9132,9863,13204,14261,17247,18626
740,3829,4143,4739,5120,8491,9170,12283,13266,16065,17350
750,4125,4461,5080,5486,9132,9863,13204,14261,17247,18626
750,3864,4180,4739,5120,8491,9170,12283,13266,16065,17350
760,4187,4528,5080,5486,9132,9863,13204,14261,17247,18626
760,3923,4244,4739,5120,8491,9170,12283,13266,16065,17350
770,4225,4568,5080,5486,9132,9863,13204,14261,17247,18626
770,3957,4280,4739,5120,8491,9170,12283,13266,16065,17350
780,4263,4609,5080,5486,9132,9863,13204,14261,17247,18626
780,3992,4318,4739,5120,8491,9170,12283,13266,16065,17350
790,4300,4649,5080,5486,9132,9863,13204,14261,17247,18626
790,4026,4354,4739,5120,8491,9170,12283,13266,16065,17350
800,4337,4689,5080,5486,9132,9863,13204,14261,17247,18626
800,4060,4391,4739,5120,8491,9170,12283,13266,16065,17350
810,4375,4730,5080,5486,9132,9863,13204,14261,17247,18626
810,4095,4428,4739,5120,8491,9170,12283,13266,16065,17350
820,4412,4770,5080,5486,9132,9863,13204,14261,17247,18626
820,4129,4465,4739,5120,8491,9170,12283,13266,16065,17350
830,4449,4809,5080,5486,9132,9863,13204,14261,17247,18626
830,4162,4501,4739,5120,8491,9170,12283,13266,16065,17350
840,4487,4850,5080,5486,9132,9863,13204,14261,17247,18626
840,4197,4539,4739,5120,8491,9170,12283,13266,16065,17350
850,4524,4890,5080,5486,9132,9863,13204,14261,17247,18626
850,4231,4575,4739,5120,8491,9170,12283,13266,16065,17350
860,4561,4930,5080,5486,9132,9863,13204,14261,17247,18626
860,4265,4611,4739,5120,8491,9170,12283,13266,16065,17350
870,4599,4970,5080,5486,9132,9863,13204,14261,17247,18626
870,4299,4648,4739,5120,8491,9170,12283,13266,16065,17350
880,4636,5010,5080,5486,9132,9863,13204,14261,17247,18626
880,4333,4685,4739,5120,8491,9170,12283,13266,16065,17350
890,4673,5049,5080,5486,9132,9863,13204,14261,17247,18626
890,4367,4721,4739,5120,8491,9170,12283,13266,16065,17350
900,4711,5090,5080,5486,9132,9863,13204,14261,17247,18626
900,4401,4758,4739,5120,8491,9170,12283,13266,16065,17350
910,4747,5129,5080,5486,9132,9863,13204,14261,17247,18626
910,4435,4794,4739,5120,8491,9170,12283,13266,16065,17350
920,4784,5169,5080,5486,9132,9863,13204,14261,17247,18626
920,4468,4830,4739,5120,8491,9170,12283,13266,16065,17350
930,4822,5209,5080,5486,9132,9863,13204,14261,17247,18626
930,4503,4867,4739,5120,8491,9170,12283,13266,16065,17350
940,4859,5248,5080,5486,9132,9863,13204,14261,17247,18626
940,4536,4903,4739,5120,8491,9170,12283,13266,16065,17350
950,4895,5288,5080,5486,9132,9863,13204,14261,17247,18626
950,4570,4939,4739,5120,8491,9170,12283,13266,16065,17350
960,4933,5328,5080,5486,9132,9863,13204,14261,17247,18626
960,4604,4976,4739,5120,8491,9170,12283,13266,16065,17350
970,4969,5367,5080,5486,9132,9863,13204,14261,17247,18626
970,4638,5011,4739,5120,8491,9170,12283,13266,16065,17350
980,5006,5406,5080,5486,9132,9863,13204,14261,17247,18626
980,4671,5047,4739,5120,8491,9170,12283,13266,16065,17350
990,5043,5447,5080,5486,9132,9863,13204,14261,17247,18626
990,4705,5084,4739,5120,8491,9170,12283,13266,16065,17350
